0,1,2,3,4,5,6,7,8,9,10,11,12,13
ECOBP1M-V,ALUMINIO,ALUMINIO,AC100-240V 1W IP65,90,45,VERDE,25.000H,,FICHA TÉCNICA,Ø41*72mm,100,2 AÑOS,"$
34.000"
ECOBP1W-A,ACERO,ACERO,AC100-240V 1W IP65,90,60,AZUL,25.000H,,FICHA TÉCNICA,Ø65*73mm,100,2 AÑOS,"$
38.667"
ECOBP1W-C,ACERO,ACERO,AC100-240V 1W IP65,90,60,3000K,25.000H,,FICHA TÉCNICA,Ø65*73mm,100,2 AÑOS,"$
38.667"
ECOBP1W-F,ACERO,ACERO,AC100-240V 1W IP65,90,60,6500K,25.000H,,FICHA TÉCNICA,Ø65*73mm,100,2 AÑOS,"$
38.667"
ECOBP1W-V,ACERO,ACERO,AC100-240V 1W IP65,90,60,VERDE,25.000H,,FICHA TÉCNICA,Ø65*73mm,100,2 AÑOS,"$
38.667"
ECOBP3W-C,ACERO,ACERO,AC100-240V 3W IP65,270,60,3000K,25.000H,,FICHA TÉCNICA,Ø80*45mm,50,2 AÑOS,"$
46.000"
ECOBP3W-V,ACERO,ACERO,AC100-240V 3W IP65,270,60,VERDE,25.000H,,FICHA TÉCNICA,Ø80*45mm,50,2 AÑOS,"$
46.000"
"*BALAS DE PISO
ANTIDESLUMBRAMIE
NTO",,,,,,,,,,,,,
ECOBP5W-C,ACERO,NEGRO,AC100-240V 5W IP65,450,24,3000K,30.000H,,FICHA TÉCNICA,Ø65*80mm,50,2 AÑOS,"$
56.667"
ECOBP10W-C,ACERO,NEGRO,AC100-240V 10W IP65,900,24,3000K,30.000H,,FICHA TÉCNICA,Ø80*120mm,30,2 AÑOS,$ 106.533
ECOBP15W-C,ACERO,NEGRO,AC100-240V 15W IP65,1350,24,3000K,30.000H,,FICHA TÉCNICA,Ø100*140mm,20,2 AÑOS,$ 158.667
"*BALAS DE PISO
GU10",,,,,,,,,,,,,
"ECOBPGU10
ACERO
ACERO
AC100-240V GU10 IP65
N/A
N/A
N/A
N/A
FICHA TÉCNICA
Ø80*110mm
50
2 AÑOS
$
33.467",,,,,,,,,,,,,
"*ALUMBRADO
PUBLICO",,,,,,,,,,,,,
ECO-SL-02-C,ALUMINIO,GRIS,AC85-265V 40W IP65,5600,Asimétrico,3000K,50.000H,,FICHA TÉCNICA,380*172*65mm,5,2 AÑOS,$ 125.350
ECO-SL-02-F,ALUMINIO,GRIS,AC85-265V 40W IP65,5600,Asimétrico,6500K,50.000H,,FICHA TÉCNICA,380*172*65mm,5,2 AÑOS,$ 125.350
ECO-SL-02-N,ALUMINIO,GRIS,AC85-265V 40W IP65,5600,Asimétrico,4000K,50.000H,,FICHA TÉCNICA,380*172*65mm,5,2 AÑOS,$ 125.350
ECO-SL-03-C,ALUMINIO,GRIS,AC85-265V 60W IP65,8400,Asimétrico,3000K,50.000H,,FICHA TÉCNICA,420*200*70mm,5,2 AÑOS,$ 153.350
ECO-SL-03-F,ALUMINIO,GRIS,AC85-265V 60W IP65,8400,Asimétrico,6500K,50.000H,,FICHA TÉCNICA,420*200*70mm,5,2 AÑOS,$ 153.350
ECO-SL-03-N,ALUMINIO,GRIS,AC85-265V 60W IP65,8400,Asimétrico,4000K,50.000H,,FICHA TÉCNICA,420*200*70mm,5,2 AÑOS,$ 153.350
