0,1,2,3,4,5,6,7,8,9,10,11,12
*REFLECTORES,,,,,,,,,,,,
SOLARES,,,,,,,,,,,,
FLOSUN50-C,PC,NEGRO,3.2V 4.5AH 50W IP65,550,120,3000K,N/A,FICHA TÉCNICA,205*170*44.5mm,10,2 AÑOS,$ 113.333
FLOSUN50-F,PC,NEGRO,3.2V 4.5AH 50W IP65,550,120,6500K,N/A,FICHA TÉCNICA,205*170*44.5mm,10,2 AÑOS,$ 113.333
,,,,,,,,,255.6*210.6*44.5m,,,
FLOSUN100-C,PC,NEGRO,3.2V 10AH 100W IP65,1400,120,3000K,N/A,FICHA TÉCNICA,,10,2 AÑOS,$ 145.333
,,,,,,,,,m,,,
,,,,,,,,,255.6*210.6*44.5m,,,
FLOSUN100-F,PC,NEGRO,3.2V 10AH 100W IP65,1400,120,6500K,N/A,FICHA TÉCNICA,,10,2 AÑOS,$ 145.333
,,,,,,,,,m,,,
,,,,,,,,,360.5*300.5*46.5,,,
FLOSUN200-F,PC,NEGRO,3.2V 20AH 200W IP65,2700,120,6500K,N/A,FICHA TÉCNICA,,5,2 AÑOS,$ 238.667
,,,,,,,,,mm,,,
,,,,,,,,,360.5*300.5*46.5,,,
FLOSUN300-C,PC,NEGRO,3.2V 30AH 300W IP65,4100,120,3000K,N/A,FICHA TÉCNICA,,5,2 AÑOS,$ 292.000
,,,,,,,,,mm,,,
,,,,,,,,,360.5*300.5*46.5,,,
FLOSUN300-F,PC,NEGRO,3.2V 30AH 300W IP65,4100,120,6500K,N/A,FICHA TÉCNICA,,5,2 AÑOS,$ 292.000
,,,,,,,,,mm,,,
