0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
STR2835-120P,COBRE,COBRE,DC24V 10W/M IP20,70,120,3CCT SMART,25.000H,,FICHA TÉCNICA,8*2mm,30,2 AÑOS,,$ 266.533
STR283524VS,COBRE,COBRE,DC24V 10W/M IP20,70,120,3CCT SMART,25.000H,,FICHA TÉCNICA,8*2mm,-,2 AÑOS,$,-
,,,AC100-240V DC24V,,,,,,,,,,,
DR24VTY,METAL,N/A,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*60mm,20,2 AÑOS,,$ 226.533
,,,IP20 100W,,,,,,,,,,,
*EMERGENCIA,,,,,,,,,,,,,,
EMG01,ABS,BLANCO,AC100-277V 4W IP20,380,120,6500K,50.000H,,FICHA TÉCNICA,220*50*106mm,20,2 AÑOS,$,69.000
EMG02,ABS,BLANCO,AC100-277V 3W IP20,300,120,6500K,50.000H,,FICHA TÉCNICA,217*100*62mm,80,2 AÑOS,$,45.333
,,BLANCO/VERD,,,,,,,,,,,,
EMG04,ABS + PMMA,,AC100-277V 2W IP20,N/A,120,6500K,50.000H,,FICHA TÉCNICA,200*246*20mm,10,2 AÑOS,$,63.933
,,E,,,,,,,,,,,,
*TOMAS /,,,,,,,,,,,,,,
INTERRUPTORES,,,,,,,,,,,,,,
N-1SC,PC,BLANCO,AC127-250V 10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,10,2 AÑOS,$,4.647
N-2SC,PC,BLANCO,AC127-250V 10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,10,2 AÑOS,$,7.667
N-3SC,PC,BLANCO,AC127-250V 10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,100,2 AÑOS,$,8.867
N-1DIM110V,PC,BLANCO,AC127-250V 10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,70,2 AÑOS,$,17.267
N-2T,PC,BLANCO,AC127-250V 10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,10,2 AÑOS,$,4.853
N-1S1TC,PC,BLANCO,AC127-250V 10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,100,2 AÑOS,$,7.733
N-1T2USB,PC,BLANCO,AC127-250V 10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,100,2 AÑOS,$,28.000
N-2TGFCI20A,PC,BLANCO,AC125 20A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,5,2 AÑOS,$,35.333
N-2TGFCI20AP,PC,BLANCO,AC125 20A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,-,2 AÑOS,$,24.684
N-1LAN,PC,BLANCO,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,100,2 AÑOS,$,10.533
N-1R,PC,BLANCO,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,10,2 AÑOS,$,4.674
N-1TEL,PC,BLANCO,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,10,2 AÑOS,$,5.610
